filename,period,theme
FO-00-00036,00s,geboorte
FO-00-00079,00s,geboorte
FO-00-00034,00s,huwelijk
FO-00-00075,00s,speelgoed
FO-10-00080,10s,geboorte
FO-10-00095,10s,geboorte
FO-10-00185,10s,geboorte
FO-10-00081,10s,geboorte
FO-10-00083,10s,geboorte
FO-10-00074,10s,huwelijk
FO-10-00089,10s,huwelijk
FO-10-00041,10s,speelgoed
FO-20-00033,20s,geboorte
FO-20-00400,20s,geboorte
FO-20-00083,20s,huwelijk
FO-20-00197,20s,huwelijk
FO-20-00236,20s,huwelijk
FO-20-00241,20s,huwelijk
FO-20-00245,20s,huwelijk
FO-20-00289,20s,huwelijk
FO-20-00292,20s,huwelijk
FO-20-00065,20s,speelgoed
FO-20-00411,20s,speelgoed
FO-20-00108,20s,vakantie
FO-20-00299_a3,20s,vakantie
FO-20-00301,20s,vakantie
FO-20-00307,20s,vakantie
FO-20-00344,20s,vakantie
FO-30-00771,30s,geboorte
FO-30-00080,30s,huwelijk
FO-30-00212,30s,huwelijk
FO-30-00430,30s,huwelijk
FO-30-00457,30s,huwelijk
FO-30-00481,30s,huwelijk
FO-30-00494,30s,huwelijk
FO-30-00532,30s,huwelijk
FO-30-00678,30s,huwelijk
FO-30-00680,30s,huwelijk
FO-30-00703,30s,huwelijk
FO-30-00013,30s,speelgoed
FO-30-00217,30s,speelgoed
FO-30-00232,30s,speelgoed
FO-30-00591,30s,speelgoed
FO-30-00726,30s,speelgoed
FO-30-00131,30s,vakantie
FO-30-00203,30s,vakantie
FO-30-00164,30s,vakantie
FO-30-00130_a3,30s,vakantie
FO-30-00306,30s,vakantie
FO-30-00241,30s,vakantie
FO-30-00319_a3,30s,vakantie
FO-30-00335,30s,vakantie
FO-30-00342,30s,vakantie
FO-30-00388,30s,vakantie
FO-30-00516,30s,vakantie
FO-40-00308,40s,geboorte
FO-40-00882,40s,geboorte
FO-40-00607,40s,geboorte
FO-40-00196,40s,huwelijk
FO-40-00460,40s,huwelijk
FO-40-00496,40s,huwelijk
FO-40-00529,40s,huwelijk
FO-40-00531,40s,huwelijk
FO-40-00610,40s,huwelijk
FO-40-00613,40s,huwelijk
FO-40-00650,40s,huwelijk
FO-40-00675,40s,huwelijk
FO-40-00679,40s,huwelijk
FO-40-00681,40s,huwelijk
FO-40-00699,40s,huwelijk
FO-40-00713,40s,huwelijk
FO-40-00276,40s,sint
FO-40-00654,40s,sint
FO-40-00726,40s,sint
FO-40-00729,40s,sint
FO-40-00739,40s,sint
FO-40-00761,40s,sint
FO-40-00787,40s,sint
FO-40-00071,40s,speelgoed
FO-40-00285,40s,speelgoed
FO-40-00658,40s,speelgoed
FO-40-00659,40s,speelgoed
FO-40-00776,40s,speelgoed
FO-40-00801,40s,speelgoed
FO-40-00803,40s,speelgoed
FO-50-00144,50s,geboorte
FO-50-01944,50s,geboorte
FO-50-01499,50s,geboorte
FO-50-01945,50s,geboorte
FO-50-01948,50s,geboorte
FO-50-02071,50s,geboorte
FO-50-00390,50s,geboorte
FO-50-01881,50s,geboorte
FO-50-00155,50s,huwelijk
FO-50-00755,50s,huwelijk
FO-50-00754,50s,huwelijk
FO-50-01336,50s,huwelijk
FO-50-01338,50s,huwelijk
FO-50-01374,50s,huwelijk
FO-50-01430,50s,huwelijk
FO-50-01460,50s,huwelijk
FO-50-01467,50s,huwelijk
FO-50-01477,50s,huwelijk
FO-50-01486,50s,huwelijk
FO-50-01621,50s,huwelijk
FO-50-01625,50s,huwelijk
FO-50-01628,50s,huwelijk
FO-50-00828,50s,huwelijk
FO-50-01291,50s,huwelijk
FO-50-01309,50s,huwelijk
FO-50-01314,50s,huwelijk
FO-50-01317,50s,huwelijk
FO-50-01322,50s,huwelijk
FO-50-01629,50s,huwelijk
FO-50-01643,50s,huwelijk
FO-50-01645,50s,huwelijk
FO-50-01647,50s,huwelijk
FO-50-01653,50s,huwelijk
FO-50-01655,50s,huwelijk
FO-50-01658,50s,huwelijk
FO-50-01675,50s,huwelijk
FO-50-01678,50s,huwelijk
FO-50-01684,50s,huwelijk
FO-50-01687,50s,huwelijk
FO-50-01689,50s,huwelijk
FO-50-01691,50s,huwelijk
FO-50-01705,50s,huwelijk
FO-50-01719,50s,huwelijk
FO-50-01737,50s,huwelijk
FO-50-01739,50s,huwelijk
FO-50-01741,50s,huwelijk
FO-50-01751,50s,huwelijk
FO-50-01753,50s,huwelijk
FO-50-01755,50s,huwelijk
FO-50-00151,50s,sint
FO-50-00281,50s,sint
FO-50-00398,50s,sint
FO-50-00411,50s,sint
FO-50-00287,50s,sint
FO-50-00334,50s,sint
FO-50-00357,50s,sint
FO-50-00359,50s,sint
FO-50-00496,50s,sint
FO-50-00590,50s,sint
FO-50-00613,50s,sint
FO-50-00750,50s,sint
FO-50-00752,50s,sint
FO-50-00763,50s,sint
FO-50-00765,50s,sint
FO-50-00767,50s,sint
FO-50-00042,50s,sint
FO-50-00797,50s,sint
FO-50-00884,50s,sint
FO-50-01028,50s,sint
FO-50-01029,50s,sint
FO-50-01386,50s,sint
FO-50-01446,50s,sint
FO-50-01545,50s,sint
FO-50-01769,50s,sint
FO-50-01773,50s,sint
FO-50-01775,50s,sint
FO-50-01778,50s,sint
FO-50-01780,50s,sint
FO-50-01782,50s,sint
FO-50-01784,50s,sint
FO-50-01788,50s,sint
FO-50-01817,50s,sint
FO-50-01819,50s,sint
FO-50-01824,50s,sint
FO-50-01827,50s,sint
FO-50-01829,50s,sint
FO-50-01831,50s,sint
FO-50-01833,50s,sint
FO-50-01856,50s,sint
FO-50-00080,50s,speelgoed
FO-50-00616,50s,speelgoed
FO-50-00628,50s,speelgoed
FO-50-00742,50s,speelgoed
FO-50-01786,50s,speelgoed
FO-50-01862,50s,speelgoed
FO-50-02073,50s,speelgoed
FO-50-00239,50s,vakantie
FO-50-00245,50s,vakantie
FO-50-00591,50s,vakantie
FO-50-00883,50s,vakantie
FO-50-00895,50s,vakantie
FO-50-00903,50s,vakantie
FO-50-00968_a3,50s,vakantie
FO-60-00083,60s,geboorte
FO-60-00176,60s,geboorte
FO-60-01036,60s,geboorte
FO-60-01055,60s,geboorte
FO-60-01221,60s,geboorte
FO-60-01801,60s,geboorte
FO-60-00664,60s,geboorte
FO-60-00665,60s,geboorte
FO-60-00175,60s,geboorte
FO-60-00050,60s,huwelijk
FO-60-00052,60s,huwelijk
FO-60-00374,60s,huwelijk
FO-60-01062,60s,huwelijk
FO-60-01065,60s,huwelijk
FO-60-01068,60s,huwelijk
FO-60-01094,60s,huwelijk
FO-60-01101,60s,huwelijk
FO-60-01109,60s,huwelijk
FO-60-01111,60s,huwelijk
FO-60-01117,60s,huwelijk
FO-60-01122,60s,huwelijk
FO-60-01136,60s,huwelijk
FO-60-01194,60s,huwelijk
FO-60-01196,60s,huwelijk
FO-60-01204,60s,huwelijk
FO-60-01208,60s,huwelijk
FO-60-01300,60s,huwelijk
FO-60-01303,60s,huwelijk
FO-60-01306,60s,huwelijk
FO-60-01344,60s,huwelijk
FO-60-01363,60s,huwelijk
FO-60-01365,60s,huwelijk
FO-60-01387,60s,huwelijk
FO-60-01392,60s,huwelijk
FO-60-01413,60s,huwelijk
FO-60-01416,60s,huwelijk
FO-60-01418,60s,huwelijk
FO-60-00425,60s,huwelijk
FO-60-01429,60s,huwelijk
FO-60-01431,60s,huwelijk
FO-60-01433,60s,huwelijk
FO-60-01435,60s,huwelijk
FO-60-01437,60s,huwelijk
FO-60-01438,60s,huwelijk
FO-60-01442,60s,huwelijk
FO-60-01446,60s,huwelijk
FO-60-00947,60s,huwelijk
FO-60-01003,60s,huwelijk
FO-60-01010,60s,huwelijk
FO-60-01020,60s,huwelijk
FO-60-01026,60s,huwelijk
FO-60-01447,60s,huwelijk
FO-60-01452,60s,huwelijk
FO-60-01455,60s,huwelijk
FO-60-01457,60s,huwelijk
FO-60-01459,60s,huwelijk
FO-60-01462,60s,huwelijk
FO-60-01464,60s,huwelijk
FO-60-01467,60s,huwelijk
FO-60-01472,60s,huwelijk
FO-60-01474,60s,huwelijk
FO-60-01479,60s,huwelijk
FO-60-01481,60s,huwelijk
FO-60-01483,60s,huwelijk
FO-60-01485,60s,huwelijk
FO-60-01497,60s,huwelijk
FO-60-01500,60s,huwelijk
FO-60-01502,60s,huwelijk
FO-60-01504,60s,huwelijk
FO-60-01513,60s,huwelijk
FO-60-01517,60s,huwelijk
FO-60-01522,60s,huwelijk
FO-60-01527,60s,huwelijk
FO-60-01529,60s,huwelijk
FO-60-01531,60s,huwelijk
FO-60-01534,60s,huwelijk
FO-60-01537,60s,huwelijk
FO-60-01539,60s,huwelijk
FO-60-01543,60s,huwelijk
FO-60-01545,60s,huwelijk
FO-60-01547,60s,huwelijk
FO-60-01549,60s,huwelijk
FO-60-01551,60s,huwelijk
FO-60-01566,60s,huwelijk
FO-60-01570,60s,huwelijk
FO-60-01572,60s,huwelijk
FO-60-01574,60s,huwelijk
FO-60-01577,60s,huwelijk
FO-60-01586,60s,huwelijk
FO-60-01592,60s,huwelijk
FO-60-01594,60s,huwelijk
FO-60-01597,60s,huwelijk
FO-60-01599,60s,huwelijk
FO-60-01616,60s,huwelijk
FO-60-00261,60s,speelgoed
FO-60-00265,60s,speelgoed
FO-60-00669,60s,speelgoed
FO-60-01047,60s,speelgoed
FO-60-01791,60s,speelgoed
FO-60-00264,60s,vakantie
DIA-60-00059,60s,vakantie
DIA-60-00061,60s,vakantie
DIA-60-00055,60s,vakantie
FO-60-00575,60s,vakantie
FO-60-00602,60s,vakantie
FO-60-00027,60s,vakantie
DIA-60-00116,60s,vakantie
DIA-60-00130,60s,vakantie
DIA-60-00153,60s,vakantie
DIA-60-00245,60s,vakantie
FO-60-00622,60s,vakantie
FO-60-00647,60s,vakantie
FO-60-00750,60s,vakantie
DIA-70-00107,70s,geboorte
DIA-70-00109,70s,geboorte
DIA-70-00111,70s,geboorte
FO-70-00900,70s,geboorte
FO-70-00956,70s,geboorte
FO-70-00960,70s,geboorte
FO-70-00977,70s,geboorte
FO-70-00030,70s,geboorte
FO-70-00193,70s,geboorte
FO-70-00234,70s,geboorte
FO-70-00338,70s,geboorte
FO-70-00003,70s,huwelijk
FO-70-00100,70s,huwelijk
FO-70-00912,70s,huwelijk
FO-70-01003,70s,huwelijk
FO-70-01006,70s,huwelijk
FO-70-01010,70s,huwelijk
FO-70-00200,70s,huwelijk
FO-70-00399,70s,huwelijk
FO-70-00402,70s,huwelijk
FO-70-00530,70s,huwelijk
FO-70-00535,70s,huwelijk
FO-70-00662,70s,huwelijk
FO-70-00844,70s,huwelijk
FO-70-01014,70s,huwelijk
FO-70-01019,70s,huwelijk
FO-70-01025,70s,huwelijk
FO-70-01029,70s,huwelijk
FO-70-01033,70s,huwelijk
FO-70-01036,70s,huwelijk
FO-70-01039,70s,huwelijk
FO-70-01041,70s,huwelijk
FO-70-01043,70s,huwelijk
FO-70-01046,70s,huwelijk
FO-70-01050,70s,huwelijk
FO-70-01052,70s,huwelijk
FO-70-01055,70s,huwelijk
FO-70-01058,70s,huwelijk
FO-70-00249_a3,70s,sint
FO-70-00006,70s,speelgoed
FO-70-00015,70s,speelgoed
FO-70-00185,70s,speelgoed
FO-70-00202,70s,speelgoed
FO-70-00215,70s,speelgoed
FO-70-00470,70s,speelgoed
FO-70-00510,70s,speelgoed
FO-70-00593,70s,speelgoed
FO-70-00867,70s,speelgoed
FO-70-00937,70s,speelgoed
FO-70-00251,70s,vakantie
DIA-70-00152,70s,vakantie
DIA-70-00089,70s,vakantie
DIA-70-00174,70s,vakantie
DIA-70-00338,70s,vakantie
DIA-70-00502,70s,vakantie
DIA-70-00671,70s,vakantie
FO-70-00539,70s,vakantie
FO-80-00008,80s,geboorte
FO-80-00041,80s,geboorte
FO-80-00163,80s,geboorte
FO-80-00505,80s,geboorte
FO-80-00016,80s,geboorte
FO-80-00018,80s,geboorte
FO-80-00053,80s,huwelijk
FO-80-00129,80s,huwelijk
FO-80-00405,80s,huwelijk
FO-80-00476,80s,huwelijk
FO-80-00496,80s,huwelijk
FO-80-00498,80s,huwelijk
FO-80-00570,80s,huwelijk
FO-80-00023,80s,speelgoed
FO-80-00106,80s,speelgoed
FO-80-00158,80s,speelgoed
FO-80-00160,80s,speelgoed
FO-80-00334,80s,speelgoed
FO-80-00535,80s,speelgoed
FO-80-00638,80s,speelgoed
FO-80-00709,80s,speelgoed
FO-80-00451,80s,vakantie
DIA-80-00069,80s,vakantie
FO-80-00412,80s,vakantie
DIA-80-00048,80s,vakantie
FO-80-00413,80s,vakantie
DIA-80-00096,80s,vakantie
FO-80-00452,80s,vakantie
FO-80-00551,80s,vakantie
FO-80-00557,80s,vakantie
FO-90-00076,90s,geboorte
FO-90-00259,90s,geboorte
FO-90-00153,90s,huwelijk
FO-90-00183,90s,huwelijk
FO-90-00190,90s,huwelijk
FO-90-00196,90s,huwelijk
FO-90-00005,90s,speelgoed
FO-90-00026,90s,speelgoed
FO-90-00174,90s,speelgoed
FO-90-00096,90s,vakantie